,detector,n_features,step_size,codebook_size,n_neighbors,distance,method,reduced_dimensions,regular_accuracy,dim_red_accuracy
0,dense_sift,500,50,50,13,manhattan,lda,1,0.8369758576874206,0.8372299872935197
1,dense_sift,500,50,50,13,manhattan,lda,2,0.8369758576874206,0.8371029224904701
2,dense_sift,500,50,50,13,manhattan,lda,3,0.8369758576874206,0.8374841168996188
3,akaze,200,-,200,13,euclidean,lda,1,0.8374975014991005,0.8384969018588847
4,akaze,200,-,200,13,euclidean,lda,2,0.8374975014991005,0.8400959424345392
5,akaze,200,-,200,13,euclidean,lda,3,0.8374975014991005,0.8410953427943234
6,sift,300,-,200,13,euclidean,lda,1,0.8359486447931527,0.837578968820053
7,sift,300,-,200,13,euclidean,lda,2,0.8359486447931527,0.8396168738536784
8,sift,300,-,200,13,euclidean,lda,3,0.8359486447931527,0.8410434073772162
