,detector,n_features,step_size,codebook_size,n_neighbors,distance,train_accuracy,val_accuracy,std_train_accuracy,std_val_accuracy,train_f1_weighted,val_f1_weighted,std_train_f1_weighted,std_val_f1_weighted
0,dense_sift,1000,10,50,3,manhattan,0.9255833419099946,0.8878869391671932,0.0010655255911979356,0.004589874389262926,0.9173165412253242,0.8719948145023569,0.0013823069851941075,0.00497616724571925
1,dense_sift,1000,10,100,3,manhattan,0.9241282573976279,0.8855587351121242,0.0006990443727798537,0.00373780264913007,0.9159713409953711,0.8707936811561753,0.0007922552324712795,0.003625473135211517
2,dense_sift,1000,10,500,21,manhattan,0.8709972443577979,0.8676608621982216,0.001280830872881921,0.0029573600190489647,0.8366932275631508,0.832368773439627,0.0013087959807075453,0.004154977080448872
3,dense_sift,1000,10,1000,21,manhattan,0.8667983135774211,0.861549950867555,0.001178367664837158,0.0035217879918206774,0.8288547846158318,0.8226433601777678,0.0013052116131603015,0.004320558289310788
4,dense_sift,1000,20,50,9,manhattan,0.8880527934742317,0.8781379497514934,0.000691384239483057,0.004670969317024077,0.861586626254251,0.847770767763425,0.001243504142761831,0.005237963504358432
5,dense_sift,1000,20,100,13,manhattan,0.8830743596462812,0.8756640583467254,0.0010220828780602286,0.0032719201760720335,0.8544707766863271,0.8448810182697077,0.0014981776638502387,0.0035937727589807882
6,dense_sift,1000,20,500,21,manhattan,0.8636075674278026,0.8583482999361379,0.0019765990058027787,0.0022459659096904176,0.8312189504255296,0.8260420069910981,0.0019734158911256855,0.0035509608275123964
7,dense_sift,1000,20,1000,21,manhattan,0.8720781612194117,0.8686793615287878,0.0007535642629701873,0.003180332686927129,0.8349686230299794,0.8308233256220549,0.0012450932072866805,0.004250015607212329
8,dense_sift,1000,50,50,17,manhattan,0.8776178478198431,0.8741363305140588,0.0007063049834701274,0.0029086390167120412,0.8430291119206879,0.8378359056824781,0.0011228395479596783,0.0035643845280535417
9,dense_sift,1000,50,100,21,manhattan,0.8767655874786193,0.8736996070758847,0.0006843319809028793,0.00263146040128332,0.8404322617640753,0.8366789487420792,0.0014188336786808142,0.0027804132907914844
10,dense_sift,1000,50,500,21,manhattan,0.87462453686202,0.8719534328714003,0.0007548828404709532,0.002667503583905629,0.8292400479719146,0.8249143371852906,0.0017267912593999907,0.003617897555754054
11,dense_sift,1000,50,1000,21,manhattan,0.8743023390771175,0.8723900716568436,0.000424817993793566,0.0018726571968542024,0.8283326435671989,0.8254065235942774,0.0007504219159730953,0.0023624276662650157
12,dense_sift,1000,100,50,21,manhattan,0.8725146747331116,0.8709350605199303,0.0005724750202625614,0.002557126067019469,0.8324276176641823,0.8305561494486344,0.000997827211309675,0.004030121547501757
13,dense_sift,1000,100,100,21,manhattan,0.8707478064592484,0.8681702600057835,0.001568626671115403,0.004063489207951961,0.8273705514007704,0.8246742264913067,0.002155123973693513,0.0032915096409172145
14,dense_sift,1000,100,500,13,manhattan,0.8745621538369978,0.8695523851414818,0.0016689273656322096,0.004461238546730336,0.8424390955343528,0.8361085103842931,0.002045084404039316,0.0050315827449288085
15,dense_sift,1000,100,1000,9,manhattan,0.8814633914633923,0.8750090578421952,0.0010197143345537702,0.004655214336064121,0.8542764521757024,0.8449736076887907,0.0016904378002650434,0.006140186264979732
