,detector,n_features,step_size,codebook_size,n_neighbors,distance,train_accuracy,val_accuracy,std_train_accuracy,std_val_accuracy,train_f1_weighted,val_f1_weighted,std_train_f1_weighted,std_val_f1_weighted
0,akaze,200,-,200,13,euclidean,0.8416299049761329,0.8360617969268967,0.0007289401422166221,0.003273575030048369,0.7770264530717126,0.7674154664462607,0.0016237449822058255,0.0026458907478530973
1,akaze,200,-,500,13,manhattan,0.8398035122399186,0.8327876114454973,0.0012927802628671804,0.0021508062500425885,0.7756046800845626,0.7654598748371764,0.001642795583273186,0.0016645059302636063
2,akaze,300,-,200,13,euclidean,0.8414183276529613,0.8355158481681013,0.0005870992910160433,0.001775805773589732,0.7758060897993886,0.7662238301854754,0.0007504518211341463,0.000906081547981195
3,akaze,300,-,500,13,euclidean,0.8386119556486498,0.8321639269729606,0.0010996915247421578,0.0027835766353583274,0.77354213667238,0.7648316551088354,0.0015538897100883116,0.0016100621174998447
4,sift,200,-,200,13,euclidean,0.8584372127349403,0.829163675310955,0.0020580353330592826,0.00647789564720132,0.8208633442895448,0.7848171446022119,0.0022720053928896268,0.004709556941858962
5,sift,200,-,500,13,euclidean,0.8436963339759749,0.801227270560585,0.004366119305114017,0.006998773744990792,0.8143084595924488,0.7719481864499325,0.0033003785053820622,0.005397246908863992
6,sift,300,-,200,13,euclidean,0.8582717931321466,0.8320827196595464,0.0011315461731345575,0.00854435149059863,0.8224628141362413,0.7896587702635897,0.0020837360943763987,0.006812548726799469
7,sift,300,-,500,13,euclidean,0.8431426349788881,0.7989120098797426,0.0030039139570223242,0.014167213769061144,0.8143799114642242,0.7738866542098233,0.002006221934068389,0.009369202653994942
